date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirarogane Noel,Kiryu Coco
2020-09-28,469000,721000,307000,634000,532000,656000
2020-09-29,469000,721000,307000,635000,532000,660000
2020-09-30,469000,722000,307000,635000,533000,662000
2020-10-01,470000,725000,308000,638000,535000,667000
2020-10-02,470000,728000,308000,641000,536000,669000
2020-10-03,471000,731000,309000,643000,539000,674000
2020-10-04,472000,734000,310000,645000,542000,677000
2020-10-05,472000,738000,312000,650000,543000,679000
2020-10-06,473000,741000,313000,653000,545000,681000
2020-10-07,474000,744000,313000,656000,547000,683000
2020-10-08,475000,747000,314000,658000,549000,685000
2020-10-09,475000,750000,316000,660000,551000,686000
2020-10-10,476000,754000,316000,663000,553000,688000
2020-10-11,478000,758000,318000,665000,555000,689000
2020-10-12,479000,761000,319000,667000,557000,691000
2020-10-13,480000,764000,320000,670000,559000,693000
2020-10-14,481000,768000,322000,672000,561000,694000
2020-10-15,483000,773000,323000,674000,564000,696000
2020-10-16,484000,778000,324000,676000,566000,697000
2020-10-17,487000,781000,325000,679000,567000,699000
2020-10-18,488000,785000,326000,692000,570000,701000
2020-10-19,489000,787000,327000,702000,571000,725000
2020-10-20,490000,792000,327000,706000,572000,732000
2020-10-21,491000,796000,328000,710000,580000,736000
2020-10-22,492000,802000,330000,713000,585000,739000
2020-10-23,493000,806000,331000,716000,587000,743000
2020-10-24,497000,810000,332000,718000,592000,749000
2020-10-25,498000,814000,334000,721000,601000,753000
2020-10-26,500000,818000,337000,724000,604000,755000
2020-10-27,502000,824000,339000,727000,609000,758000
2020-10-28,503000,828000,340000,730000,611000,760000
2020-10-29,504000,831000,341000,732000,614000,761000
2020-10-30,505000,836000,343000,734000,616000,763000
2020-10-31,507000,841000,344000,738000,618000,764000
2020-11-01,509000,845000,346000,740000,621000,766000
2020-11-02,510000,850000,347000,742000,623000,768000
2020-11-03,511000,857000,348000,745000,626000,770000
2020-11-04,512000,862000,351000,748000,628000,772000
2020-11-05,513000,866000,352000,750000,630000,773000
2020-11-06,514000,871000,354000,753000,631000,775000
2020-11-07,516000,876000,355000,756000,633000,779000
2020-11-08,517000,882000,356000,758000,635000,780000
2020-11-09,518000,887000,359000,761000,637000,782000
2020-11-10,520000,891000,360000,764000,639000,784000
2020-11-11,521000,896000,362000,767000,640000,785000
2020-11-12,523000,903000,363000,769000,643000,787000
2020-11-13,524000,907000,364000,771000,644000,788000
2020-11-14,525000,911000,368000,774000,645000,789000
2020-11-15,526000,915000,370000,778000,647000,791000
2020-11-16,527000,920000,372000,780000,648000,793000
2020-11-17,529000,924000,373000,783000,650000,795000
2020-11-18,530000,928000,375000,786000,652000,800000
2020-11-19,531000,932000,376000,788000,653000,802000
2020-11-20,532000,934000,377000,790000,657000,803000
2020-11-21,534000,940000,378000,793000,661000,805000
2020-11-22,536000,944000,380000,795000,664000,807000
2020-11-23,537000,947000,381000,803000,667000,808000
2020-11-24,538000,951000,382000,806000,673000,809000
2020-11-25,540000,954000,384000,809000,675000,811000
2020-11-26,541000,959000,386000,812000,678000,812000
2020-11-27,542000,963000,387000,814000,681000,814000
2020-11-28,543000,967000,388000,816000,682000,816000
2020-11-29,545000,970000,389000,820000,685000,817000
2020-11-30,546000,974000,390000,823000,686000,819000
2020-12-01,548000,983000,391000,825000,688000,820000
2020-12-02,549000,988000,393000,828000,690000,821000
2020-12-03,551000,993000,394000,831000,692000,823000
2020-12-04,552000,1000000,400000,833000,694000,824000
2020-12-05,554000,1010000,401000,836000,701000,826000
2020-12-06,556000,1010000,402000,840000,704000,827000
2020-12-07,557000,1020000,404000,844000,707000,829000
2020-12-08,559000,1020000,405000,848000,710000,830000
2020-12-09,560000,1030000,406000,850000,712000,832000
2020-12-10,563000,1030000,407000,852000,713000,833000
2020-12-11,565000,1030000,408000,854000,716000,834000
2020-12-12,566000,1030000,410000,857000,717000,835000
2020-12-13,567000,1040000,411000,860000,719000,837000
2020-12-14,569000,1050000,413000,864000,720000,843000
2020-12-15,570000,1050000,414000,867000,722000,848000
2020-12-16,571000,1060000,415000,870000,724000,850000
2020-12-17,572000,1060000,416000,872000,726000,852000
2020-12-18,573000,1060000,417000,873000,728000,853000
2020-12-19,574000,1070000,418000,875000,729000,855000
2020-12-20,576000,1070000,420000,877000,731000,857000
2020-12-21,577000,1070000,420000,881000,733000,858000
2020-12-22,578000,1080000,421000,883000,735000,860000
2020-12-23,580000,1080000,423000,886000,736000,862000
2020-12-24,581000,1080000,424000,889000,738000,864000
2020-12-25,584000,1090000,427000,891000,740000,865000
2020-12-26,585000,1090000,428000,894000,742000,867000
2020-12-27,586000,1090000,430000,896000,744000,869000
2020-12-28,587000,1100000,431000,905000,746000,871000
2020-12-29,588000,1100000,433000,908000,747000,872000
2020-12-30,590000,1100000,434000,911000,749000,873000
2020-12-31,591000,1110000,436000,914000,751000,875000
2021-01-01,592000,1110000,437000,917000,753000,878000
2021-01-02,594000,1110000,438000,920000,756000,880000
2021-01-03,596000,1120000,440000,925000,758000,882000
2021-01-04,597000,1120000,441000,928000,761000,885000
2021-01-05,600000,1130000,442000,933000,763000,887000
2021-01-06,601000,1130000,444000,937000,766000,888000
2021-01-07,603000,1130000,445000,941000,768000,890000
2021-01-08,604000,1140000,450000,946000,770000,893000
2021-01-09,606000,1140000,451000,955000,772000,894000
2021-01-10,608000,1140000,453000,960000,775000,898000
2021-01-11,610000,1150000,455000,965000,777000,903000
