date,Tokino Sora,Usada Pekora,Shiranui Flare,Houshyou Marine,Shirarogane Noel,Kiryu Coco
2021-11-01,877000,1760000,792000,1670000,1340000,1440000
2021-11-02,878000,1760000,792000,1670000,1340000,1440000
2021-11-03,878000,1760000,793000,1680000,1340000,1440000
2021-11-04,879000,1760000,793000,1680000,1340000,1440000
2021-11-05,879000,1760000,794000,1680000,1340000,1440000
2021-11-06,880000,1760000,794000,1680000,1340000,1440000
2021-11-07,880000,1760000,795000,1680000,1340000,1440000
2021-11-08,880000,1760000,795000,1680000,1340000,1440000
2021-11-09,881000,1760000,796000,1680000,1340000,1440000
2021-11-10,881000,1770000,796000,1680000,1340000,1440000
2021-11-11,882000,1770000,798000,1690000,1350000,1440000
2021-11-12,882000,1770000,800000,1690000,1350000,1440000
2021-11-13,883000,1770000,800000,1690000,1350000,1440000
2021-11-14,883000,1770000,801000,1690000,1350000,1440000
2021-11-15,884000,1770000,802000,1690000,1350000,1440000
2021-11-16,884000,1770000,802000,1700000,1350000,1440000
2021-11-17,885000,1780000,803000,1700000,1350000,1440000
2021-11-18,885000,1780000,803000,1700000,1350000,1440000
2021-11-19,885000,1780000,803000,1700000,1350000,1440000
2021-11-20,886000,1780000,804000,1700000,1350000,1440000
2021-11-21,886000,1780000,805000,1700000,1350000,1440000
2021-11-22,886000,1780000,805000,1700000,1350000,1440000
2021-11-23,887000,1790000,808000,1710000,1350000,1440000
2021-11-24,887000,1790000,808000,1710000,1360000,1440000
2021-11-25,888000,1790000,809000,1710000,1360000,1440000
2021-11-26,889000,1790000,810000,1710000,1360000,1440000
2021-11-27,892000,1790000,812000,1710000,1360000,1440000
2021-11-28,893000,1790000,813000,1720000,1360000,1440000
2021-11-29,893000,1790000,813000,1720000,1360000,1440000
2021-11-30,893000,1790000,813000,1720000,1360000,1440000
2021-12-01,893000,1790000,814000,1720000,1360000,1440000
2021-12-02,895000,1800000,814000,1720000,1360000,1440000
2021-12-03,896000,1800000,815000,1720000,1360000,1440000
2021-12-04,897000,1800000,817000,1720000,1360000,1440000
2021-12-05,899000,1800000,818000,1730000,1370000,1440000
2021-12-06,900000,1800000,818000,1730000,1370000,1440000
2021-12-07,901000,1800000,820000,1730000,1370000,1440000
2021-12-08,902000,1800000,820000,1730000,1370000,1440000
2021-12-09,903000,1800000,822000,1730000,1370000,1440000
2021-12-10,903000,1800000,822000,1730000,1370000,1440000
2021-12-11,904000,1810000,823000,1740000,1370000,1440000
2021-12-12,905000,1810000,826000,1740000,1370000,1440000
2021-12-13,906000,1810000,827000,1740000,1380000,1440000
2021-12-14,906000,1810000,827000,1740000,1380000,1440000
2021-12-15,907000,1810000,828000,1740000,1380000,1440000
2021-12-16,908000,1810000,829000,1740000,1380000,1440000
2021-12-17,908000,1810000,829000,1740000,1380000,1440000
2021-12-18,909000,1810000,830000,1750000,1380000,1440000
2021-12-19,909000,1820000,830000,1750000,1380000,1440000
2021-12-20,909000,1820000,830000,1750000,1380000,1440000
2021-12-21,910000,1820000,831000,1750000,1380000,1440000
2021-12-22,910000,1820000,832000,1750000,1380000,1440000
2021-12-23,911000,1820000,832000,1750000,1380000,1440000
2021-12-24,911000,1820000,833000,1750000,1380000,1440000
2021-12-25,912000,1820000,834000,1760000,1390000,1440000
2021-12-26,912000,1820000,834000,1760000,1390000,1440000
2021-12-27,913000,1820000,835000,1760000,1390000,1440000
2021-12-28,913000,1820000,835000,1760000,1390000,1440000
2021-12-29,914000,1830000,836000,1760000,1390000,1440000
2021-12-30,914000,1830000,836000,1760000,1390000,1440000
2021-12-31,915000,1830000,836000,1770000,1390000,1440000
2022-01-01,916000,1830000,837000,1770000,1390000,1440000
2022-01-02,916000,1830000,837000,1770000,1390000,1440000
2022-01-03,917000,1830000,838000,1770000,1390000,1440000
2022-01-04,918000,1830000,839000,1780000,1390000,1440000
2022-01-05,918000,1830000,839000,1780000,1390000,1440000
2022-01-06,919000,1830000,840000,1780000,1400000,1440000
2022-01-07,919000,1830000,840000,1780000,1400000,1440000
2022-01-08,920000,1830000,840000,1790000,1400000,1440000
2022-01-09,920000,1840000,841000,1790000,1400000,1440000
2022-01-10,921000,1840000,841000,1790000,1400000,1440000
2022-01-11,922000,1840000,842000,1790000,1400000,1440000
2022-01-12,922000,1840000,842000,1790000,1400000,1440000
2022-01-13,923000,1840000,843000,1790000,1400000,1440000
2022-01-14,923000,1840000,843000,1790000,1400000,1450000
2022-01-15,924000,1840000,844000,1800000,1400000,1450000
2022-01-16,924000,1840000,844000,1800000,1400000,1450000
2022-01-17,925000,1840000,844000,1800000,1400000,1450000
2022-01-18,926000,1840000,845000,1800000,1400000,1450000
2022-01-19,926000,1840000,845000,1800000,1400000,1450000
2022-01-20,927000,1840000,846000,1800000,1400000,1450000
2022-01-21,927000,1850000,846000,1800000,1410000,1450000
2022-01-22,927000,1850000,847000,1810000,1410000,1450000
2022-01-23,928000,1850000,847000,1810000,1410000,1450000
2022-01-24,929000,1850000,848000,1810000,1410000,1450000
2022-01-25,929000,1850000,848000,1810000,1410000,1450000
2022-01-26,930000,1850000,849000,1810000,1410000,1450000
2022-01-27,930000,1850000,849000,1810000,1410000,1450000
2022-01-28,930000,1850000,849000,1810000,1410000,1450000
2022-01-29,930000,1850000,849000,1810000,1410000,1450000
2022-01-30,931000,1850000,850000,1810000,1410000,1450000
2022-01-31,931000,1850000,850000,1810000,1410000,1450000
2022-02-01,932000,1850000,850000,1810000,1410000,1450000
2022-02-02,932000,1850000,850000,1810000,1410000,1450000
2022-02-03,932000,1850000,851000,1820000,1410000,1450000
2022-02-04,933000,1850000,851000,1820000,1410000,1450000
2022-02-05,933000,1850000,851000,1820000,1410000,1450000
2022-02-06,933000,1850000,852000,1820000,1410000,1450000
2022-02-07,933000,1850000,852000,1820000,1420000,1450000
2022-02-08,934000,1860000,853000,1820000,1420000,1450000
2022-02-09,934000,1860000,854000,1820000,1420000,1450000
2022-02-10,934000,1860000,854000,1820000,1420000,1450000
2022-02-11,935000,1860000,854000,1820000,1420000,1450000
2022-02-12,935000,1860000,854000,1820000,1420000,1450000
2022-02-13,935000,1860000,855000,1820000,1420000,1450000
2022-02-14,936000,1860000,855000,1820000,1420000,1450000
2022-02-15,936000,1860000,856000,1830000,1420000,1450000
2022-02-16,936000,1860000,856000,1830000,1420000,1450000
2022-02-17,937000,1860000,856000,1830000,1420000,1450000
2022-02-18,937000,1860000,857000,1830000,1420000,1450000
2022-02-19,937000,1860000,857000,1830000,1420000,1450000
2022-02-20,938000,1860000,859000,1830000,1420000,1450000
2022-02-21,938000,1860000,860000,1830000,1420000,1450000
2022-02-22,938000,1860000,860000,1830000,1420000,1450000
2022-02-23,939000,1860000,860000,1830000,1420000,1450000
2022-02-24,939000,1870000,861000,1830000,1430000,1450000
2022-02-25,940000,1880000,862000,1830000,1430000,1450000
2022-02-26,939000,1880000,862000,1830000,1430000,1450000
2022-02-27,939000,1880000,862000,1840000,1430000,1450000
2022-02-28,940000,1880000,863000,1840000,1430000,1450000
2022-03-01,940000,1880000,863000,1840000,1430000,1450000
2022-03-02,940000,1880000,863000,1840000,1430000,1450000
2022-03-03,941000,1880000,864000,1840000,1430000,1450000
2022-03-04,941000,1890000,864000,1840000,1440000,1450000
2022-03-05,941000,1890000,864000,1840000,1440000,1450000
2022-03-06,942000,1890000,865000,1840000,1440000,1450000
2022-03-07,942000,1890000,865000,1840000,1440000,1450000
2022-03-08,943000,1890000,865000,1840000,1440000,1450000
2022-03-09,943000,1890000,866000,1840000,1440000,1450000
2022-03-10,943000,1890000,866000,1840000,1440000,1440000
2022-03-11,943000,1890000,866000,1840000,1440000,1440000
2022-03-12,944000,1890000,866000,1850000,1440000,1440000
2022-03-13,944000,1890000,866000,1850000,1440000,1440000
2022-03-14,944000,1890000,867000,1850000,1450000,1440000
2022-03-15,944000,1890000,867000,1850000,1450000,1440000
2022-03-16,945000,1890000,867000,1850000,1450000,1440000
2022-03-17,945000,1890000,867000,1850000,1450000,1440000
2022-03-18,945000,1890000,867000,1850000,1450000,1440000
2022-03-19,945000,1890000,867000,1850000,1450000,1440000
2022-03-20,946000,1890000,868000,1850000,1450000,1440000
2022-03-21,947000,1900000,868000,1850000,1450000,1440000
2022-03-22,947000,1900000,868000,1850000,1450000,1440000
2022-03-23,947000,1900000,868000,1850000,1450000,1440000
2022-03-24,948000,1900000,869000,1860000,1450000,1440000
2022-03-25,949000,1900000,869000,1860000,1450000,1440000
2022-03-26,949000,1900000,869000,1860000,1450000,1440000
2022-03-27,949000,1900000,869000,1860000,1450000,1440000
2022-03-28,950000,1900000,869000,1860000,1460000,1440000
2022-03-29,951000,1900000,870000,1860000,1460000,1440000
2022-03-30,951000,1900000,870000,1860000,1460000,1440000
2022-03-31,952000,1900000,870000,1860000,1460000,1440000
2022-04-01,952000,1900000,870000,1860000,1460000,1440000
2022-04-02,952000,1900000,871000,1860000,1460000,1440000
2022-04-03,952000,1910000,871000,1870000,1460000,1440000
2022-04-04,953000,1910000,872000,1870000,1460000,1440000
2022-04-05,953000,1910000,872000,1870000,1460000,1440000
2022-04-06,954000,1910000,873000,1870000,1460000,1440000
2022-04-07,954000,1910000,873000,1870000,1460000,1440000
2022-04-08,954000,1910000,873000,1870000,1460000,1440000
2022-04-09,955000,1910000,873000,1870000,1470000,1440000
2022-04-10,955000,1910000,874000,1870000,1470000,1440000
2022-04-11,955000,1910000,874000,1880000,1470000,1440000
2022-04-12,955000,1910000,874000,1880000,1470000,1440000
2022-04-13,956000,1910000,874000,1880000,1470000,1440000
2022-04-14,956000,1910000,874000,1880000,1470000,1440000
2022-04-15,957000,1910000,874000,1880000,1470000,1440000
2022-04-16,957000,1910000,874000,1880000,1470000,1440000
2022-04-17,957000,1910000,874000,1880000,1470000,1440000
2022-04-18,958000,1920000,874000,1880000,1470000,1440000
2022-04-19,958000,1920000,875000,1880000,1470000,1440000
2022-04-20,958000,1920000,875000,1880000,1470000,1440000
2022-04-21,959000,1920000,875000,1880000,1470000,1440000
2022-04-22,959000,1920000,875000,1880000,1470000,1440000
2022-04-23,959000,1920000,875000,1880000,1470000,1440000
2022-04-24,960000,1920000,875000,1880000,1470000,1440000
2022-04-25,960000,1920000,875000,1880000,1480000,1440000
2022-04-26,960000,1920000,875000,1880000,1480000,1440000
2022-04-27,960000,1920000,875000,1890000,1480000,1440000
2022-04-28,960000,1920000,876000,1890000,1480000,1440000
2022-04-29,961000,1920000,876000,1900000,1480000,1440000
2022-04-30,961000,1920000,876000,1900000,1480000,1440000
2022-05-01,961000,1930000,876000,1900000,1480000,1440000
2022-05-02,961000,1930000,876000,1900000,1480000,1440000
2022-05-03,962000,1930000,876000,1900000,1480000,1440000
2022-05-04,962000,1930000,877000,1900000,1480000,1440000
2022-05-05,963000,1930000,877000,1910000,1480000,1440000
2022-05-06,963000,1930000,877000,1910000,1480000,1440000
2022-05-07,963000,1930000,878000,1910000,1480000,1440000
2022-05-08,963000,1930000,878000,1910000,1480000,1440000
2022-05-09,964000,1930000,878000,1910000,1480000,1440000
2022-05-10,964000,1930000,878000,1910000,1480000,1440000
2022-05-11,964000,1930000,878000,1910000,1480000,1440000
2022-05-12,965000,1930000,878000,1910000,1480000,1440000
2022-05-13,965000,1930000,879000,1910000,1490000,1440000
2022-05-14,966000,1930000,879000,1910000,1490000,1440000
2022-05-15,970000,1930000,880000,1910000,1490000,1440000
2022-05-16,971000,1930000,880000,1910000,1490000,1440000
2022-05-17,971000,1930000,880000,1910000,1490000,1440000
2022-05-18,971000,1930000,880000,1910000,1490000,1440000
2022-05-19,972000,1930000,881000,1920000,1490000,1440000
2022-05-20,972000,1930000,881000,1920000,1490000,1440000
2022-05-21,972000,1930000,881000,1920000,1490000,1440000
2022-05-22,973000,1940000,881000,1920000,1490000,1440000
2022-05-23,973000,1940000,881000,1920000,1490000,1440000
2022-05-24,973000,1940000,882000,1920000,1490000,1440000
2022-05-25,973000,1940000,882000,1920000,1490000,1440000
2022-05-26,973000,1940000,882000,1920000,1490000,1440000
2022-05-27,974000,1940000,882000,1920000,1490000,1440000
2022-05-28,974000,1940000,882000,1920000,1490000,1440000
2022-05-29,974000,1940000,882000,1920000,1490000,1440000
2022-05-30,974000,1940000,882000,1920000,1490000,1440000
2022-05-31,974000,1940000,882000,1920000,1490000,1440000
